gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
TREM1,-0.010410451341953661,9.494506793734013,-0.23639668136246952,0.8134480203095855,0.907941982103385,-6.165977020963805
NKD1,-0.009815335668815088,9.544689668597545,-0.23469507404192952,0.8147661195701443,0.9086010144555835,-6.219132811847008
PARP4,-0.00950914656474659,9.442521524845771,-0.23360350888513812,0.8156119470787412,0.9086010144555835,-6.159753090345556
LCP1,0.011990520330317483,9.526658006524682,0.23326347410098475,0.8158754762173746,0.9086010144555835,-6.209639451873255
CD3D_CTL,0.06524145405904073,10.05779693110367,0.23305147469701654,0.8160397877626965,0.9086010144555835,-6.171011363474156
TUBB,0.00899634193806429,9.494582240004082,0.23210021216500004,0.8167771705744529,0.9088647927470628,-6.184759454795427
CCNE1,0.009567905487209436,9.477555695693866,0.23075552087078943,0.8178198038807913,0.9091297121236144,-6.181502480551406
COL5A1,-0.012129759566271507,9.525347140488995,-0.23046256713269295,0.8180469946836989,0.9091297121236144,-6.21424055530654
RPS6KB1,-0.01071898190852854,9.487113808147893,-0.22985642944699522,0.8185171141641572,0.9091297121236144,-6.189801099150743
GIMAP6,0.010630932137022538,9.547409066312163,0.22282661419565242,0.8239742013181072,0.9146315095315908,-6.221432942573535
RAF1,-0.010173965190706256,9.468807082950349,-0.22070356145907394,0.8256239837333523,0.9159029654610678,-6.174321650361993
MRPL19,0.008479943207317809,9.47846700187048,0.21975525628766338,0.8263611448118808,0.9161610738573722,-6.195774839499589
SYK,-0.009479324128208552,9.538653248750782,-0.2171701151974346,0.8283714768670252,0.9178295314158131,-6.192265812115126
NDUFB10,-0.009714488677948684,9.471526251047393,-0.2086646532148632,0.8349936886594256,0.9246027674423885,-6.187372665089953
CCND3,-0.011774857241292645,9.516275507053644,-0.2070842905069128,0.8362254508684644,0.9250901087606251,-6.186116585759009
BMP2,-0.009889802038047305,9.444644512577558,-0.20679288682539915,0.83645262036616,0.9250901087606251,-6.187689572649547
CEACAM3,-0.01652637376453484,9.565998767516518,-0.19898225369636338,0.8425466277625202,0.9302239770271155,-6.218674529943602
MSH2,-0.009732142141030667,9.449570915218223,-0.19889015128520904,0.8426185454621719,0.9302239770271155,-6.166533240955487
RAD50,-0.007529615551533975,9.481440298123513,-0.19846272283150238,0.8429523181426999,0.9302239770271155,-6.1968805224268
SOX11,-0.00825260737431859,9.49760422775099,-0.19821786277836626,0.8431435386490265,0.9302239770271155,-6.2064843519461785
ADH4,-0.009100191051641343,9.44888291931708,-0.1954819647815207,0.8452807378976762,0.9320156770019308,-6.178323476733452
CCR4,0.007965007493510546,9.522091776957927,0.1933650321698912,0.8469352108784858,0.9327594077201818,-6.224103634366248
SKP2,-0.009338707724498175,9.403478101096196,-0.1933045070949458,0.8469825238604514,0.9327594077201818,-6.148470806454606
CD209,0.009439649775985947,9.521061713816813,0.18629952886782575,0.8524620968917647,0.9358873070994951,-6.224390187821562
SUV39H2,0.008984783452091949,9.516939121532598,0.186005933502687,0.8526919179512956,0.9358873070994951,-6.227438668134132
CAMP,0.006891410329617082,9.473188961781343,0.18570529595287893,0.8529272645935091,0.9358873070994951,-6.195756055644658
CD244,-0.009139291115611008,9.468455547282272,-0.18566853335032849,0.8529560441920911,0.9358873070994951,-6.166818011151909
IL12A,-0.007054072837833167,9.521384986467126,-0.1854133790508175,0.8531557971479773,0.9358873070994951,-6.212240820067509
PAX3,0.007893595872715162,9.527685992640997,0.1842331723746934,0.8540798705247339,0.9358873070994951,-6.211387021764097
TMPRSS2,-0.008831753600559551,9.481571810186974,-0.18368012408570117,0.8545129636700586,0.9358873070994951,-6.188040179227325
MDM4,-0.008721156660308234,9.477614088224218,-0.18348104912840082,0.8546688704852461,0.9358873070994951,-6.175195751595263
APOB,0.007765890128629897,9.460780658829654,0.1833298432393145,0.8547872921664159,0.9358873070994951,-6.198216207894216
LTA,-0.009892950459332093,9.403869905378896,-0.18281181510409927,0.855193027341223,0.9358873070994951,-6.149535930165836
AXL,-0.007883738670797549,9.513355180180119,-0.18243051029252236,0.8554917014235472,0.9358873070994951,-6.210604906500288
